"test_id","timestamp","phase","gate","category","test_case","result","severity","defect_id","owner_agent","evidence_path","remark"
"TL-0025","2026-03-27 10:23:00","M2","GATE-M2-O2-PROD","可用性","O1-2 prod环境 deploy+smoke 校验","PASS","Low","","Test-Agent","ops/artifacts/o1_2_smoke_prod.json","6/6 pass"
"TL-0026","2026-03-27 10:24:00","M2","GATE-M2-F1-API","接口","前端联调用API smoke（TestClient）","PASS","Low","","Test-Agent","frontend/smoke_result.json","6/6 pass，viewer/admin RBAC符合预期"
"TL-0027","2026-03-27 11:08:00","M3","GATE-M3-A1-2","功能","A1-2 深度模型训练脚本执行与产物校验","PASS","Low","","Test-Agent","model/deep/output/metrics.json","LSTM/GRU指标产出成功，runtime=tensorflow.keras"
"TL-0028","2026-03-27 11:18:00","M3","GATE-M3-B1-3","接口","B1-3 缓存与异步任务接口链路校验","PASS","Low","","Test-Agent","execution/m3/B1-3_验证记录_2026-03-27.md","11/11 pass，任务状态可达completed"
"TL-0029","2026-03-27 11:22:00","M3","GATE-M3-OPENAPI","接口","B1-3 OpenAPI导出与新增接口可见性校验","PASS","Low","","Test-Agent","backend/openapi.json","新增cache/tasks接口已写入openapi"
"TL-0030","2026-03-27 12:05:00","M3","GATE-M3-F1-3","功能","F1-3 高级图表渲染与交互校验","PASS","Low","","Test-Agent","execution/m3/F1-3_验证记录_2026-03-27.md","瀑布/箱线/回放热图渲染通过"
"TL-0031","2026-03-27 12:10:00","M3","GATE-M3-F1-4","功能","F1-4 地图-图表-筛选联动链路校验","PASS","Low","","Test-Agent","execution/m3/F1-4_验证记录_2026-03-27.md","地图点击、图表点击、事件表点击联动通过"
"TL-0032","2026-03-27 12:12:00","M3","GATE-M3-F1-SMOKE","接口","前端结构+接口联合smoke","PASS","Low","","Test-Agent","frontend/m3_f1_smoke.json","20/20 pass"
"TL-0033","2026-03-27 13:04:00","M3","GATE-M3-F1-5-SYNTAX","功能","F1-5 前端导出代码语法校验","PASS","Low","","Test-Agent","frontend/assets/app.js","node语法检查通过"
"TL-0034","2026-03-27 13:08:00","M3","GATE-M3-F1-5","接口","F1-5 导出能力结构+接口联合smoke","PASS","Low","","Test-Agent","frontend/m3_f1_5_smoke.json","20/20 pass"
"TL-0035","2026-03-27 13:12:00","M3","GATE-M3-T1-1","可用性","T1-1 测试计划文档完整性与可执行性检查","PASS","Low","","Test-Agent","execution/m3/T1-1_验证记录_2026-03-27.md","范围/分层/门禁/SLA/归档规范齐全"
"TL-0036","2026-03-27 13:29:00","M3","GATE-M3-T1-2","接口","T1-2 接口自动化测试（TestClient）","PASS","Low","","Test-Agent","backend/tests/output/t1_2_api_test_result.json","28/28 pass，RBAC/cache/task/audit链路通过"
"TL-0037","2026-03-27 13:37:00","M3","GATE-M3-C1-1","接口","C1-1 OpenAPI基线导出与目录一致性校验","PASS","Low","","Test-Agent","backend/openapi.json","13 paths/17 schemas，B1-3新增接口可见"
"TL-0038","2026-03-27 14:40:00","M3","GATE-M3-T1-3","功能","T1-3 前端E2E自动化（Playwright CLI）","PASS","Low","","Test-Agent","frontend/tests/output/t1_3_e2e_result.json","16/16 pass，登录/联动/回放/导出链路通过"
"TL-0039","2026-03-27 14:52:00","M3","GATE-M3-C1-2","可用性","C1-2 数据字典与模型卡一致性校验","PASS","Low","","Test-Agent","execution/m3/C1-2_验证记录_2026-03-27.md","字段定义与metrics/model_report一致"
"TL-0040","2026-03-27 15:08:00","M4","GATE-M4-T1-4","性能","T1-4 性能压测基线（核心API+地图缓存）","PASS","Low","","Test-Agent","backend/tests/output/t1_4_perf_result.json","5接口压测通过，API P95<2000ms，地图缓存P95<1000ms"
"TL-0041","2026-03-27 15:26:00","M4","GATE-M4-T1-5","可用性","T1-5 回归测试与质量门禁聚合","PASS","Low","","Test-Agent","execution/m4/output/t1_5_quality_gate_result.json","3/3门禁通过（T1-2/T1-3/T1-4）"
"TL-0042","2026-03-27 15:42:00","M4","GATE-M4-O1-3","可用性","O1-3 监控告警巡检（系统/应用/模型）","PASS","Low","","Test-Agent","ops/artifacts/o1_3_monitor_dev.json","11检查项通过，critical=0，warning=0"
"TL-0043","2026-03-27 15:53:00","M4","GATE-M4-O1-4","可用性","O1-4 灰度发布与回滚演练","PASS","Low","","Test-Agent","ops/artifacts/o1_4_gray_release_drill_dev.json","4/4 steps pass，canary与回滚恢复通过"
"TL-0044","2026-03-27 16:05:00","M4","GATE-M4-O1-5","可用性","O1-5 运行手册与应急预案一体化演练","PASS","Low","","Test-Agent","ops/artifacts/o1_5_runbook_drill_dev.json","7/7 steps pass，MTTR=6.37s<=300s"
"TL-0045","2026-03-27 16:25:00","M4","GATE-M4-B1-4","接口","B1-4 调度接口自动化验证（重训/发布/健康）","PASS","Low","","Test-Agent","backend/tests/output/b1_4_scheduler_result.json","23/23 pass，RBAC与调度闭环通过"
"TL-0046","2026-03-27 16:50:00","M4","GATE-M4-B1-5","接口","B1-5 审计日志与错误码规范自动化验证","PASS","Low","","Test-Agent","backend/tests/output/b1_5_audit_error_result.json","23/23 pass，错误码与审计查询链路通过"
"TL-0047","2026-03-27 17:10:00","M4","GATE-M4-A1-6","可用性","A1-6 模型版本管理与回滚演练","PASS","Low","","Test-Agent","model/registry/a1_6_rollback_result.json","30/30 pass，版本切换与回滚恢复通过"
"TL-0048","2026-03-27 17:30:00","M5","GATE-M5-ENTRY","可用性","M5 阶段入口检查（M4收口+门禁映射+启动任务板一致性）","PASS","Low","","Test-Agent","execution/m5/M5_验证记录_2026-03-27_第1轮.md","M4 8/8完成且TL-0040~TL-0047全绿，M5准入通过"
"TL-0049","2026-03-27 17:56:00","M5","GATE-M5-C1-3","可用性","C1-3 用户手册与运维手册文档完整性校验","PASS","Low","","Test-Agent","execution/m5/output/c1_3_doc_check_result.json","15/15检查项通过，章节与引用完整"
"TL-0050","2026-03-27 18:21:00","M5","GATE-M5-C1-4","可用性","C1-4 验收报告与项目复盘文档完整性校验","PASS","Low","","Test-Agent","execution/m5/output/c1_4_doc_check_result.json","14/14检查项通过，验收映射与复盘结构完整"
"TL-0051","2026-03-27 18:46:00","M5","GATE-M5-UAT","可用性","M5-UAT 验收报告文档完整性与证据可追溯校验","PASS","Low","","Test-Agent","execution/m5/output/m5_uat_check_result.json","10/10检查项通过，UAT证据链完整"
"TL-0052","2026-03-27 19:11:00","M5","GATE-M5-REL","可用性","M5-REL 上线发布说明与发布清单完整性校验","PASS","Low","","Test-Agent","execution/m5/output/m5_rel_check_result.json","10/10检查项通过，发布说明与manifest完整"
"TL-0053","2026-03-27 19:40:00","FINAL","GATE-FINAL-ACCEPTANCE","可用性","FINAL 终验证据包一致性校验","PASS","Low","","Test-Agent","execution/final/output/final_acceptance_bundle.json","15/15检查项通过，M1-M5证据链完整"
"TL-0054","2026-03-27 20:06:00","M2","GATE-M2-DB-SCHEMA","可用性","M2 核心数据库表结构完整性校验","PASS","Low","","Test-Agent","data-pipeline/schema/output/schema_check_result.json","14/14检查项通过，表/索引/分区完整"
"TL-0055","2026-03-27 20:21:00","M3","GATE-M3-A1-3","可用性","A1-3 STGNN训练与产物校验","PASS","Low","","Test-Agent","model/stgnn/output/stgnn_check_result.json","7/7检查项通过，STGNN代理模型产物齐全"
"TL-0056","2026-03-27 20:31:00","M3","GATE-M3-A1-4","可用性","A1-4 拥堵规则标定校验","PASS","Low","","Test-Agent","model/congestion_rules/output/rules_check_result.json","7/7检查项通过，规则配置与评估结果完整"
"TL-0057","2026-03-27 20:41:00","M3","GATE-M3-A1-5","可用性","A1-5 归因分析产物校验","PASS","Low","","Test-Agent","model/attribution/output/attribution_check_result.json","5/5检查项通过，全局/局部解释可追溯"
"TL-0058","2026-03-27 20:51:00","FINAL","GATE-FINAL-ACCEPTANCE-RECHECK","可用性","FINAL 终验复核（含增量遗留项）","PASS","Low","","Test-Agent","execution/final/output/final_acceptance_bundle.json","27/27检查项通过，M2/M3/M5与增量门禁全绿"
"TL-0059","2026-04-02 10:46:00","REVAMP","GATE-REVAMP-S1S2-API","接口","S1-S2 改版接口烟雾验证（含匿名访问与分析接口）","PASS","Low","","Test-Agent","execution/revamp/output/s1_s2_api_smoke_result.json","10/10通过，前台核心读取接口匿名可用，admin接口未放开"
"TL-0060","2026-04-02 10:47:00","REVAMP","GATE-REVAMP-S1S2-FE","功能","S1-S2 前端结构与脚本静态校验","PASS","Low","","Test-Agent","execution/revamp/output/s1_s2_frontend_check_result.json","4/4通过，已移除登录管理页并切换四个中文业务页"
"TL-0062","2026-04-02 11:40:00","REVAMP","GATE-REVAMP-S3-E2E","功能","S3 前端新版E2E回归（四页面+报表+图表降级）","PASS","Low","","Test-Agent","frontend/tests/output/revamp_e2e_result.json","16/16通过，页面交互与报表展示正常"
"TL-0063","2026-04-02 11:42:00","REVAMP","GATE-REVAMP-S3","可用性","S3 阶段门禁聚合","PASS","Low","","Test-Agent","execution/revamp/output/s3_gate_result.json","2项门禁全绿，S3可交付"
"TL-0061","2026-04-02 11:28:00","REVAMP","GATE-REVAMP-S3-API","接口","S3 分析接口与权限自动化回归","PASS","Low","","Test-Agent","backend/tests/output/t1_2_api_test_result.json","36/36通过，新增analytics与report接口可用"
"TL-0064","2026-04-02 12:12:00","REVAMP","GATE-REVAMP-S4-UAT","可用性","S4 UAT结构/语义/接口边界检查","PASS","Low","","Test-Agent","execution/revamp/output/s4_uat_result.json","24/24通过，改版可验收"
"TL-0065","2026-04-02 13:25:00","REVAMP","GATE-REVAMP-R2-E2E","功能","R2 预测页小地图增强回归","PASS","Low","","Test-Agent","frontend/tests/output/revamp_e2e_result.json","17/17通过，新增predictionMap检查通过"
"TL-0066","2026-04-02 14:25:00","REVAMP","GATE-REVAMP-R3-E2E","功能","R3 预测地图时间回放增强回归","PASS","Low","","Test-Agent","frontend/tests/output/revamp_e2e_result.json","18/18通过，新增时间控件检查通过"
"TL-0067","2026-04-02 15:35:00","REVAMP","GATE-REVAMP-R4","功能","R4 刷新修复与真实路网接入回归","PASS","Low","","Test-Agent","execution/revamp/R4_刷新修复与真实路网接入_执行记录_2026-04-02.md","API 36/36 + E2E 18/18通过"
"TL-0068","2026-04-02 17:15:00","REVAMP","GATE-REVAMP-R5","可用性","R5 真实路网导入工具与来源可观测回归","PASS","Low","","Test-Agent","execution/revamp/R5_真实路网导入工具与来源可观测_执行记录_2026-04-02.md","API 36/36 + E2E 18/18通过，导入脚本转换成功"
