ride_id,timestamp,pickup_zone,dropoff_zone,passenger_count,reject_reasons
taxi-00067,2026-03-25T01:27:00Z,Zone-06,Zone-10,4,delay:late_record
taxi-00068,2026-03-25T02:55:00Z,Zone-03,Zone-16,1,delay:late_record
taxi-00069,2026-03-25T02:03:00Z,Zone-21,Zone-18,1,delay:late_record
taxi-00070,2026-03-25T02:05:00Z,Zone-25,Zone-08,2,delay:late_record
taxi-00071,2026-03-25T02:26:00Z,Zone-16,Zone-17,2,delay:late_record
taxi-00072,2026-03-25T02:55:00Z,Zone-13,Zone-02,2,delay:late_record
taxi-00073,2026-03-25T02:24:00Z,Zone-01,Zone-14,3,delay:late_record
taxi-00074,2026-03-25T02:59:00Z,Zone-15,Zone-10,4,delay:late_record
taxi-00075,2026-03-25T02:44:00Z,Zone-24,Zone-18,4,delay:late_record
taxi-00076,2026-03-25T02:09:00Z,Zone-07,Zone-11,2,delay:late_record
taxi-00077,2026-03-25T02:03:00Z,Zone-19,Zone-25,1,delay:late_record
taxi-00078,2026-03-25T02:47:00Z,Zone-11,Zone-02,1,delay:late_record
taxi-00079,2026-03-25T02:37:00Z,Zone-16,Zone-18,2,delay:late_record
taxi-00080,2026-03-25T02:03:00Z,Zone-17,Zone-03,2,delay:late_record
taxi-00081,2026-03-25T02:04:00Z,Zone-20,Zone-03,2,delay:late_record
taxi-00082,2026-03-25T02:25:00Z,Zone-04,Zone-20,2,delay:late_record
taxi-00083,2026-03-25T02:37:00Z,Zone-20,Zone-02,1,delay:late_record
taxi-00084,2026-03-25T02:26:00Z,Zone-22,Zone-19,3,delay:late_record
taxi-00085,2026-03-25T02:59:00Z,Zone-09,Zone-07,3,delay:late_record
taxi-00086,2026-03-25T02:15:00Z,Zone-09,Zone-14,2,delay:late_record
taxi-00087,2026-03-25T02:42:00Z,Zone-21,Zone-10,4,delay:late_record
taxi-00088,2026-03-25T02:20:00Z,Zone-25,Zone-03,1,delay:late_record
taxi-00089,2026-03-25T02:29:00Z,Zone-20,Zone-19,1,delay:late_record
taxi-00090,2026-03-25T03:34:00Z,Zone-07,Zone-18,3,delay:late_record
taxi-00091,2026-03-25T03:08:00Z,Zone-12,Zone-03,2,delay:late_record
taxi-00092,2026-03-25T03:23:00Z,Zone-10,Zone-06,4,delay:late_record
taxi-00093,2026-03-25T03:53:00Z,Zone-18,Zone-24,3,delay:late_record
taxi-00094,2026-03-25T03:39:00Z,Zone-21,Zone-17,1,delay:late_record
taxi-00095,2026-03-25T03:42:00Z,Zone-18,Zone-10,1,delay:late_record
taxi-00096,2026-03-25T03:56:00Z,Zone-05,Zone-10,1,delay:late_record
taxi-00097,2026-03-25T03:56:00Z,Zone-04,Zone-25,2,delay:late_record
taxi-00098,2026-03-25T03:17:00Z,Zone-10,Zone-21,2,delay:late_record
taxi-00099,2026-03-25T03:45:00Z,Zone-11,Zone-07,3,delay:late_record
taxi-00100,2026-03-25T03:32:00Z,Zone-16,Zone-09,1,delay:late_record
taxi-00101,2026-03-25T03:05:00Z,Zone-21,Zone-14,3,delay:late_record
taxi-00102,2026-03-25T03:02:00Z,Zone-01,Zone-12,2,delay:late_record
taxi-00103,2026-03-25T03:40:00Z,Zone-09,Zone-06,4,delay:late_record
taxi-00104,2026-03-25T03:35:00Z,Zone-23,Zone-14,1,delay:late_record
taxi-00105,2026-03-25T03:07:00Z,Zone-03,Zone-24,2,delay:late_record
taxi-00106,2026-03-25T03:34:00Z,Zone-02,Zone-13,2,delay:late_record
taxi-00107,2026-03-25T04:08:00Z,Zone-02,Zone-11,3,delay:late_record
taxi-00108,2026-03-25T04:57:00Z,Zone-02,Zone-13,2,delay:late_record
taxi-00109,2026-03-25T04:43:00Z,Zone-08,Zone-23,1,delay:late_record
taxi-00110,2026-03-25T04:22:00Z,Zone-25,Zone-18,4,delay:late_record
taxi-00111,2026-03-25T04:39:00Z,Zone-24,Zone-05,2,delay:late_record
taxi-00112,2026-03-25T04:55:00Z,Zone-06,Zone-07,4,delay:late_record
taxi-00113,2026-03-25T04:01:00Z,Zone-06,Zone-25,3,delay:late_record
taxi-00114,2026-03-25T04:50:00Z,Zone-14,Zone-23,2,delay:late_record
taxi-00115,2026-03-25T04:17:00Z,Zone-06,Zone-24,1,delay:late_record
taxi-00116,2026-03-25T04:24:00Z,Zone-02,Zone-17,2,delay:late_record
taxi-00117,2026-03-25T04:12:00Z,Zone-15,Zone-12,3,delay:late_record
taxi-00118,2026-03-25T04:52:00Z,Zone-08,Zone-09,1,delay:late_record
taxi-00119,2026-03-25T04:42:00Z,Zone-07,Zone-14,3,delay:late_record
taxi-00120,2026-03-25T04:17:00Z,Zone-03,Zone-10,3,delay:late_record
taxi-00121,2026-03-25T04:41:00Z,Zone-17,Zone-13,3,delay:late_record
taxi-00122,2026-03-25T04:01:00Z,Zone-04,Zone-10,2,delay:late_record
taxi-00123,2026-03-25T04:37:00Z,Zone-09,Zone-02,1,delay:late_record
taxi-00124,2026-03-25T04:38:00Z,Zone-14,Zone-12,3,delay:late_record
taxi-00125,2026-03-25T04:27:00Z,Zone-20,Zone-17,1,delay:late_record
taxi-00126,2026-03-25T04:24:00Z,Zone-19,Zone-07,3,delay:late_record
taxi-00127,2026-03-25T04:02:00Z,Zone-23,Zone-14,1,delay:late_record
taxi-00128,2026-03-25T04:33:00Z,Zone-18,Zone-23,2,delay:late_record
taxi-00129,2026-03-25T04:23:00Z,Zone-14,Zone-03,3,delay:late_record
taxi-00130,2026-03-25T04:39:00Z,Zone-11,Zone-23,1,delay:late_record
taxi-00131,2026-03-25T04:46:00Z,Zone-10,Zone-18,3,delay:late_record
taxi-00132,2026-03-25T04:42:00Z,Zone-14,Zone-11,4,delay:late_record
taxi-00133,2026-03-25T04:44:00Z,Zone-10,Zone-19,2,delay:late_record
taxi-00134,2026-03-25T04:12:00Z,Zone-14,Zone-23,4,delay:late_record
taxi-00135,2026-03-25T05:47:00Z,Zone-06,Zone-21,3,delay:late_record
taxi-00136,2026-03-25T05:25:00Z,Zone-18,Zone-01,3,delay:late_record
taxi-00137,2026-03-25T05:18:00Z,Zone-07,Zone-15,3,delay:late_record
taxi-00138,2026-03-25T05:29:00Z,Zone-15,Zone-16,2,delay:late_record
taxi-00139,2026-03-25T05:32:00Z,Zone-16,Zone-25,2,delay:late_record
taxi-00140,2026-03-25T05:42:00Z,Zone-03,Zone-11,3,delay:late_record
taxi-00141,2026-03-25T05:05:00Z,Zone-25,Zone-08,3,delay:late_record
taxi-00142,2026-03-25T05:14:00Z,Zone-07,Zone-05,1,delay:late_record
taxi-00143,2026-03-25T05:02:00Z,Zone-08,Zone-17,1,delay:late_record
taxi-00144,2026-03-25T05:29:00Z,Zone-14,Zone-22,2,delay:late_record
taxi-00145,2026-03-25T05:45:00Z,Zone-23,Zone-13,4,delay:late_record
taxi-00146,2026-03-25T05:25:00Z,Zone-08,Zone-05,1,delay:late_record
taxi-00147,2026-03-25T05:57:00Z,Zone-25,Zone-04,4,delay:late_record
taxi-00148,2026-03-25T05:14:00Z,Zone-06,Zone-24,4,delay:late_record
taxi-00149,2026-03-25T05:03:00Z,Zone-18,Zone-08,1,delay:late_record
taxi-00150,2026-03-25T05:29:00Z,Zone-05,Zone-16,3,delay:late_record
taxi-00151,2026-03-25T05:48:00Z,Zone-15,Zone-21,4,delay:late_record
taxi-00152,2026-03-25T05:53:00Z,Zone-18,Zone-15,2,delay:late_record
taxi-00153,2026-03-25T05:47:00Z,Zone-16,Zone-15,3,delay:late_record
taxi-00154,2026-03-25T05:48:00Z,Zone-08,Zone-22,3,delay:late_record
taxi-00155,2026-03-25T05:49:00Z,Zone-25,Zone-17,4,delay:late_record
taxi-00156,2026-03-25T05:40:00Z,Zone-08,Zone-10,4,delay:late_record
taxi-00157,2026-03-25T05:04:00Z,Zone-23,Zone-10,2,delay:late_record
taxi-00158,2026-03-25T05:17:00Z,Zone-11,Zone-12,1,delay:late_record
taxi-00159,2026-03-25T05:08:00Z,Zone-05,Zone-09,4,delay:late_record
taxi-00160,2026-03-25T05:44:00Z,Zone-05,Zone-24,2,delay:late_record
taxi-00161,2026-03-25T05:04:00Z,Zone-14,Zone-15,3,delay:late_record
taxi-00162,2026-03-25T05:34:00Z,Zone-15,Zone-14,1,delay:late_record
taxi-00163,2026-03-25T05:13:00Z,Zone-14,Zone-13,1,delay:late_record
taxi-00164,2026-03-25T05:54:00Z,Zone-25,Zone-19,4,delay:late_record
taxi-00165,2026-03-25T05:30:00Z,Zone-01,Zone-13,3,delay:late_record
taxi-00166,2026-03-25T05:48:00Z,Zone-13,Zone-15,2,delay:late_record
taxi-00167,2026-03-25T05:31:00Z,Zone-08,Zone-10,4,delay:late_record
taxi-00168,2026-03-25T05:31:00Z,Zone-01,Zone-14,3,delay:late_record
taxi-00169,2026-03-25T05:42:00Z,Zone-22,Zone-13,2,delay:late_record
taxi-00170,2026-03-25T05:53:00Z,Zone-15,Zone-05,1,delay:late_record
taxi-00171,2026-03-25T06:37:00Z,Zone-19,Zone-23,1,delay:late_record
taxi-00172,2026-03-25T06:05:00Z,Zone-21,Zone-14,2,delay:late_record
taxi-00173,2026-03-25T06:55:00Z,Zone-15,Zone-06,1,delay:late_record
taxi-00174,2026-03-25T06:16:00Z,Zone-13,Zone-11,2,delay:late_record
taxi-00175,2026-03-25T06:29:00Z,Zone-11,Zone-12,4,delay:late_record
taxi-00176,2026-03-25T06:17:00Z,Zone-25,Zone-14,3,delay:late_record
taxi-00177,2026-03-25T06:53:00Z,Zone-03,Zone-17,1,delay:late_record
taxi-00178,2026-03-25T06:47:00Z,Zone-18,Zone-02,3,delay:late_record
taxi-00179,2026-03-25T06:14:00Z,Zone-21,Zone-03,1,delay:late_record
taxi-00180,2026-03-25T06:48:00Z,Zone-01,Zone-09,2,delay:late_record
taxi-00181,2026-03-25T06:53:00Z,Zone-01,Zone-21,2,delay:late_record
taxi-00182,2026-03-25T06:15:00Z,Zone-05,Zone-17,1,delay:late_record
taxi-00183,2026-03-25T06:36:00Z,Zone-07,Zone-16,3,delay:late_record
taxi-00184,2026-03-25T06:49:00Z,Zone-12,Zone-06,1,delay:late_record
taxi-00185,2026-03-25T06:49:00Z,Zone-06,Zone-11,1,delay:late_record
taxi-00186,2026-03-25T06:37:00Z,Zone-01,Zone-11,4,delay:late_record
taxi-00187,2026-03-25T06:25:00Z,Zone-23,Zone-07,1,delay:late_record
taxi-00188,2026-03-25T06:37:00Z,Zone-23,Zone-21,2,delay:late_record
taxi-00189,2026-03-25T06:06:00Z,Zone-23,Zone-10,1,delay:late_record
taxi-00190,2026-03-25T06:50:00Z,Zone-19,Zone-02,3,delay:late_record
taxi-00191,2026-03-25T06:34:00Z,Zone-14,Zone-23,3,delay:late_record
taxi-00192,2026-03-25T06:04:00Z,Zone-17,Zone-22,3,delay:late_record
taxi-00193,2026-03-25T06:00:00Z,Zone-14,Zone-17,1,delay:late_record
taxi-00194,2026-03-25T06:27:00Z,Zone-12,Zone-22,4,delay:late_record
taxi-00195,2026-03-25T06:45:00Z,Zone-05,Zone-15,2,delay:late_record
taxi-00196,2026-03-25T06:46:00Z,Zone-17,Zone-22,3,delay:late_record
taxi-00197,2026-03-25T06:39:00Z,Zone-18,Zone-16,4,delay:late_record
taxi-00198,2026-03-25T07:52:00Z,Zone-24,Zone-19,3,delay:late_record
taxi-00199,2026-03-25T07:20:00Z,Zone-08,Zone-03,3,delay:late_record
taxi-00200,2026-03-25T07:56:00Z,Zone-15,Zone-08,4,delay:late_record
taxi-00201,2026-03-25T07:36:00Z,Zone-20,Zone-23,4,delay:late_record
taxi-00202,2026-03-25T07:21:00Z,Zone-01,Zone-17,3,delay:late_record
taxi-00203,2026-03-25T07:11:00Z,Zone-16,Zone-07,3,delay:late_record
taxi-00204,2026-03-25T07:51:00Z,Zone-09,Zone-12,3,delay:late_record
taxi-00205,2026-03-25T07:56:00Z,Zone-20,Zone-24,3,delay:late_record
taxi-00206,2026-03-25T07:35:00Z,Zone-01,Zone-18,2,delay:late_record
taxi-00207,2026-03-25T07:05:00Z,Zone-08,Zone-25,4,delay:late_record
taxi-00208,2026-03-25T07:31:00Z,Zone-18,Zone-08,4,delay:late_record
taxi-00209,2026-03-25T07:41:00Z,Zone-23,Zone-16,4,delay:late_record
taxi-00210,2026-03-25T07:50:00Z,Zone-01,Zone-04,3,delay:late_record
taxi-00211,2026-03-25T07:14:00Z,Zone-13,Zone-24,2,delay:late_record
taxi-00212,2026-03-25T07:19:00Z,Zone-22,Zone-19,3,delay:late_record
taxi-00213,2026-03-25T07:30:00Z,Zone-18,Zone-17,3,delay:late_record
taxi-00214,2026-03-25T07:27:00Z,Zone-24,Zone-18,3,delay:late_record
taxi-00215,2026-03-25T07:22:00Z,Zone-23,Zone-15,3,delay:late_record
taxi-00216,2026-03-25T07:19:00Z,Zone-09,Zone-08,1,delay:late_record
taxi-00217,2026-03-25T07:46:00Z,Zone-07,Zone-12,1,delay:late_record
taxi-00218,2026-03-25T07:47:00Z,Zone-18,Zone-24,2,delay:late_record
taxi-00219,2026-03-25T07:12:00Z,Zone-07,Zone-25,4,delay:late_record
taxi-00220,2026-03-25T07:17:00Z,Zone-24,Zone-19,3,delay:late_record
taxi-00221,2026-03-25T07:06:00Z,Zone-07,Zone-11,2,delay:late_record
taxi-00222,2026-03-25T07:23:00Z,Zone-06,Zone-11,1,delay:late_record
taxi-00223,2026-03-25T07:45:00Z,Zone-18,Zone-05,3,delay:late_record
taxi-00224,2026-03-25T07:02:00Z,Zone-02,Zone-19,3,delay:late_record
taxi-00225,2026-03-25T07:44:00Z,Zone-05,Zone-22,4,delay:late_record
taxi-00226,2026-03-25T08:55:00Z,Zone-01,Zone-20,3,delay:late_record
taxi-00227,2026-03-25T08:30:00Z,Zone-16,Zone-15,3,delay:late_record
taxi-00228,2026-03-25T08:11:00Z,Zone-02,Zone-10,4,delay:late_record
taxi-00229,2026-03-25T08:07:00Z,Zone-03,Zone-14,4,delay:late_record
taxi-00230,2026-03-25T08:04:00Z,Zone-19,Zone-22,1,delay:late_record
taxi-00231,2026-03-25T08:09:00Z,Zone-05,Zone-20,3,delay:late_record
taxi-00232,2026-03-25T08:05:00Z,Zone-08,Zone-04,4,delay:late_record
taxi-00233,2026-03-25T08:38:00Z,Zone-20,Zone-21,2,delay:late_record
taxi-00234,2026-03-25T08:49:00Z,Zone-17,Zone-13,4,delay:late_record
taxi-00235,2026-03-25T08:58:00Z,Zone-15,Zone-10,4,delay:late_record
taxi-00236,2026-03-25T08:19:00Z,Zone-19,Zone-21,1,delay:late_record
taxi-00237,2026-03-25T08:39:00Z,Zone-24,Zone-04,2,delay:late_record
taxi-00238,2026-03-25T08:40:00Z,Zone-07,Zone-10,1,delay:late_record
taxi-00239,2026-03-25T08:10:00Z,Zone-08,Zone-06,1,delay:late_record
taxi-00240,2026-03-25T08:10:00Z,Zone-01,Zone-15,4,delay:late_record
taxi-00241,2026-03-25T08:44:00Z,Zone-20,Zone-16,3,delay:late_record
taxi-00242,2026-03-25T08:02:00Z,Zone-08,Zone-11,3,delay:late_record
taxi-00243,2026-03-25T08:44:00Z,Zone-15,Zone-03,2,delay:late_record
taxi-00244,2026-03-25T09:50:00Z,Zone-21,Zone-19,2,delay:late_record
taxi-00245,2026-03-25T09:27:00Z,Zone-04,Zone-19,2,delay:late_record
taxi-00246,2026-03-25T09:41:00Z,Zone-05,Zone-10,2,delay:late_record
taxi-00247,2026-03-25T09:04:00Z,Zone-02,Zone-07,3,delay:late_record
taxi-00248,2026-03-25T09:38:00Z,Zone-24,Zone-19,3,delay:late_record
taxi-00249,2026-03-25T09:28:00Z,Zone-04,Zone-16,3,delay:late_record
taxi-00250,2026-03-25T09:44:00Z,Zone-13,Zone-09,4,delay:late_record
taxi-00251,2026-03-25T09:28:00Z,Zone-03,Zone-21,1,delay:late_record
taxi-00252,2026-03-25T09:56:00Z,Zone-14,Zone-25,3,delay:late_record
taxi-00253,2026-03-25T09:38:00Z,Zone-09,Zone-01,1,delay:late_record
taxi-00254,2026-03-25T09:14:00Z,Zone-22,Zone-19,1,delay:late_record
taxi-00255,2026-03-25T09:48:00Z,Zone-22,Zone-09,1,delay:late_record
taxi-00256,2026-03-25T09:48:00Z,Zone-25,Zone-06,4,delay:late_record
taxi-00257,2026-03-25T09:33:00Z,Zone-21,Zone-15,3,delay:late_record
taxi-00258,2026-03-25T09:11:00Z,Zone-19,Zone-14,4,delay:late_record
taxi-00259,2026-03-25T09:05:00Z,Zone-16,Zone-12,4,delay:late_record
taxi-00260,2026-03-25T09:21:00Z,Zone-11,Zone-23,1,delay:late_record
taxi-00261,2026-03-25T09:54:00Z,Zone-06,Zone-12,4,delay:late_record
taxi-00262,2026-03-25T09:44:00Z,Zone-16,Zone-10,4,delay:late_record
taxi-00263,2026-03-25T09:52:00Z,Zone-25,Zone-18,1,delay:late_record
taxi-00264,2026-03-25T09:29:00Z,Zone-03,Zone-12,3,delay:late_record
taxi-00265,2026-03-25T09:20:00Z,Zone-04,Zone-14,1,delay:late_record
taxi-00266,2026-03-25T09:42:00Z,Zone-18,Zone-15,4,delay:late_record
taxi-00267,2026-03-25T10:12:00Z,Zone-17,Zone-12,4,delay:late_record
taxi-00268,2026-03-25T10:40:00Z,Zone-15,Zone-02,2,delay:late_record
taxi-00269,2026-03-25T10:17:00Z,Zone-18,Zone-05,3,delay:late_record
taxi-00270,2026-03-25T10:28:00Z,Zone-23,Zone-16,1,delay:late_record
taxi-00271,2026-03-25T10:01:00Z,Zone-21,Zone-20,2,delay:late_record
taxi-00272,2026-03-25T10:45:00Z,Zone-06,Zone-11,1,delay:late_record
taxi-00273,2026-03-25T10:35:00Z,Zone-14,Zone-03,2,delay:late_record
taxi-00274,2026-03-25T10:53:00Z,Zone-04,Zone-16,1,delay:late_record
taxi-00275,2026-03-25T10:41:00Z,Zone-05,Zone-17,3,delay:late_record
taxi-00276,2026-03-25T10:32:00Z,Zone-23,Zone-09,4,delay:late_record
taxi-00277,2026-03-25T10:53:00Z,Zone-16,Zone-17,2,delay:late_record
taxi-00278,2026-03-25T10:29:00Z,Zone-18,Zone-05,4,delay:late_record
taxi-00279,2026-03-25T10:12:00Z,Zone-20,Zone-17,2,delay:late_record
taxi-00280,2026-03-25T10:55:00Z,Zone-03,Zone-10,4,delay:late_record
taxi-00281,2026-03-25T10:21:00Z,Zone-17,Zone-09,1,delay:late_record
taxi-00282,2026-03-25T10:18:00Z,Zone-24,Zone-10,4,delay:late_record
taxi-00283,2026-03-25T11:28:00Z,Zone-18,Zone-16,3,delay:late_record
taxi-00284,2026-03-25T11:21:00Z,Zone-18,Zone-19,4,delay:late_record
taxi-00285,2026-03-25T11:29:00Z,Zone-11,Zone-07,2,delay:late_record
taxi-00286,2026-03-25T11:36:00Z,Zone-13,Zone-08,4,delay:late_record
taxi-00287,2026-03-25T11:02:00Z,Zone-11,Zone-25,4,delay:late_record
taxi-00288,2026-03-25T11:45:00Z,Zone-13,Zone-14,2,delay:late_record
taxi-00289,2026-03-25T11:31:00Z,Zone-02,Zone-06,3,delay:late_record
taxi-00290,2026-03-25T11:55:00Z,Zone-04,Zone-16,1,delay:late_record
taxi-00291,2026-03-25T11:33:00Z,Zone-15,Zone-01,2,delay:late_record
taxi-00292,2026-03-25T11:26:00Z,Zone-21,Zone-05,1,delay:late_record
taxi-00293,2026-03-25T11:30:00Z,Zone-09,Zone-12,4,delay:late_record
taxi-00294,2026-03-25T11:41:00Z,Zone-03,Zone-12,4,delay:late_record
taxi-00295,2026-03-25T11:20:00Z,Zone-21,Zone-24,4,delay:late_record
taxi-00296,2026-03-25T11:55:00Z,Zone-18,Zone-02,1,delay:late_record
taxi-00297,2026-03-25T11:15:00Z,Zone-21,Zone-23,3,delay:late_record
taxi-00298,2026-03-25T11:14:00Z,Zone-24,Zone-03,4,delay:late_record
taxi-00299,2026-03-25T11:06:00Z,Zone-25,Zone-21,1,delay:late_record
taxi-00300,2026-03-25T11:28:00Z,Zone-06,Zone-24,3,delay:late_record
taxi-00301,2026-03-25T11:57:00Z,Zone-01,Zone-03,3,delay:late_record
taxi-00302,2026-03-25T12:03:00Z,Zone-10,Zone-13,3,delay:late_record
taxi-00303,2026-03-25T12:27:00Z,Zone-05,Zone-09,4,delay:late_record
taxi-00304,2026-03-25T12:36:00Z,Zone-22,Zone-06,2,delay:late_record
taxi-00305,2026-03-25T12:11:00Z,Zone-03,Zone-21,4,delay:late_record
taxi-00306,2026-03-25T12:39:00Z,Zone-22,Zone-08,4,delay:late_record
taxi-00307,2026-03-25T12:58:00Z,Zone-19,Zone-05,2,delay:late_record
taxi-00308,2026-03-25T12:29:00Z,Zone-21,Zone-09,4,delay:late_record
taxi-00309,2026-03-25T12:16:00Z,Zone-22,Zone-01,4,delay:late_record
taxi-00310,2026-03-25T12:57:00Z,Zone-10,Zone-23,2,delay:late_record
taxi-00311,2026-03-25T12:04:00Z,Zone-15,Zone-12,3,delay:late_record
taxi-00312,2026-03-25T12:40:00Z,Zone-14,Zone-24,3,delay:late_record
taxi-00313,2026-03-25T12:29:00Z,Zone-10,Zone-07,4,delay:late_record
taxi-00314,2026-03-25T12:54:00Z,Zone-16,Zone-04,2,delay:late_record
taxi-00315,2026-03-25T12:24:00Z,Zone-19,Zone-12,3,delay:late_record
taxi-00316,2026-03-25T12:44:00Z,Zone-10,Zone-01,4,delay:late_record
taxi-00317,2026-03-25T12:17:00Z,Zone-01,Zone-20,1,delay:late_record
taxi-00318,2026-03-25T12:58:00Z,Zone-20,Zone-25,4,delay:late_record
taxi-00319,2026-03-25T12:53:00Z,Zone-10,Zone-08,3,delay:late_record
taxi-00320,2026-03-25T12:14:00Z,Zone-21,Zone-07,3,delay:late_record
taxi-00321,2026-03-25T12:43:00Z,Zone-25,Zone-24,2,delay:late_record
taxi-00322,2026-03-25T12:40:00Z,Zone-04,Zone-22,1,delay:late_record
taxi-00323,2026-03-25T12:19:00Z,Zone-15,Zone-02,3,delay:late_record
