"Name","Description","Labels","List","Members","Due Date"
"[G1-1] 项目章程、目标、里程碑冻结","任务ID: G1-1 | 责任Agent: PM-Agent | 里程碑: M1 | 来源: 总清单与Agent任务边界","traffic-system,M1,pm_agent,g1_1","M1_Done","PM-Agent","2026-04-12"
"自动化测试集（接口+前端E2E）","任务ID:  | 责任Agent: Test-Agent | 里程碑: M3 | 来源: 总清单与Agent任务边界","traffic-system,M3,test_agent","M3_Done","Test-Agent","2026-05-24"
"性能压测报告与优化清单","任务ID:  | 责任Agent: Test-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,test_agent","M4_Done","Test-Agent","2026-06-07"
"安全测试报告（鉴权、审计、限流）","任务ID:  | 责任Agent: Test-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,test_agent","M4_Done","Test-Agent","2026-06-07"
"监控告警面板与应急手册","任务ID:  | 责任Agent: Ops-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,ops_agent","M4_Done","Ops-Agent","2026-06-07"
"灰度发布与回滚演练记录","任务ID:  | 责任Agent: Ops-Agent | 里程碑: M4 | 来源: 总清单与Agent任务边界","traffic-system,M4,ops_agent","M4_Done","Ops-Agent","2026-06-07"
"UAT 验收报告","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"上线版本与发布说明","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"用户手册、运维手册、培训材料","任务ID:  | 责任Agent: Doc-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,doc_agent","M5_Done","Doc-Agent","2026-06-21"
"项目复盘与后续迭代建议","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"功能验收：预测、拥堵识别、归因、可视化、导出全部可用","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"性能验收：核心 API P95 < 2 秒，地图交互 < 1 秒（缓存命中）","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"质量验收：自动化测试通过率达到门禁要求","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"安全验收：鉴权、权限、审计、限流配置完整","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"文档验收：设计、接口、部署、运维、验收材料齐全","任务ID:  | 责任Agent: PM-Agent | 里程碑: M5 | 来源: 总清单与Agent任务边界","traffic-system,M5,pm_agent","M5_Done","PM-Agent","2026-06-21"
"项目总交付清单与最终验收签字归档","任务ID: FINAL-ARCHIVE | 责任Agent: PM-Agent | 里程碑: FINAL | 来源: FINAL收口任务板","traffic-system,FINAL,pm_agent,final_archive","FINAL_Done","PM-Agent","2026-03-27"
